http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   netflow-v9-2016.08.19 2UFh9pimTSmLRiyDTxe9Cg   1   0       6451            0    688.3kb        688.3kb
green  open   netflow-v5-2018.07.12 qldml0-3QPWi5kgv6Gemuw   1   0        319            0     93.5kb         93.5kb
green  open   packetbeat-2017.11.18 BK3XPbsiT7u1Ja9PF_n6Sw   5   0     302089            0     73.7mb         73.7mb
green  open   winlogbeat-2018.01.23 S6-LXFhqSZiCRhpOBvF5dw   5   0          6            0     76.6kb         76.6kb
green  open   bro-2017.12.10        9izOY2_kQI2-D5i5a5fdew   5   0     185304            0     63.1mb         63.1mb
green  open   netflow-v9-2017.11.23 98xu167pQjuk-bYz9hYL6A   5   0      44593            0      8.5mb          8.5mb
green  open   netflow-v9-2016.08.10 KL2OjC9URPqhcq6TUZ4TQg   1   0       2014            0      130kb          130kb
yellow open   bro-2018.07.15        m17l1atWT4Ci8_e2LSWwUQ   5   1     128966            0     68.8mb         68.8mb
green  open   netflow-v9-2016.08.02 OgQkiMnkTF2jeG5tlI_Cog   1   0       5878            0      741kb          741kb
green  open   snort-2017.11.30      fKdD4v4BR5yrXoGUWBzJAw   1   0       2236            0      7.6mb          7.6mb
green  open   netflow-v9-1970.01.03 ClGOEyqMTyy68m95PEA57w   1   0         90            0     80.3kb         80.3kb
green  open   netflow-v9-2016.07.13 KN-NtZi1TaCt_vBYQeKuig   1   0      13618            0      1.4mb          1.4mb
green  open   netflow-v9-2017.12.17 2_LnS3DBQvOScXQPORpLyA   5   0      59814            0     10.6mb         10.6mb
green  open   bro-2017.12.03        PDkGsC4bShO3kUiA6pH02Q   5   0     137134            0     43.9mb         43.9mb
green  open   winlogbeat-2018.02.09 9elX7NUXSBCX9etjFkUBBg   5   0        207            0    231.4kb        231.4kb
green  open   netflow-v9-2018.02.05 6TnXEc0FQ0-O2nQ0482Vxg   5   0      14581            0      3.5mb          3.5mb
green  open   snort-2017.11.02      X18lNeHGTbuPrIRdfJwMSA   1   0      11616            0     28.3mb         28.3mb
green  open   snort-2017.11.08      7yhyPCoWSauDWCrL572s7g   1   0      20999            0     69.1mb         69.1mb
yellow open   netflow-v9-2018.06.26 2rMMVaF0Re6Nh0EGYu-OCQ   5   1      17729            0      4.7mb          4.7mb
green  open   winlogbeat-2018.01.19 ho4NU_auT1-O-D2aPbfy9A   5   0          1            0     13.5kb         13.5kb
green  open   winlogbeat-2017.11.14 Vu326_pbTv21pRKqEa6vWA   5   0        276            0      375kb          375kb
green  open   netflow-v9-2017.11.17 79u2mjsKTbaTHhKD88AT4w   5   0      49590            0      9.5mb          9.5mb
green  open   netflow-v9-2016.09.01 Kh4NEnOrQ0uATfnWq1qAuw   1   0         49            0     36.8kb         36.8kb
green  open   snort-2017.10.31      EygGMIOFQSehyebv2r9pBg   1   0       1048            0      3.4mb          3.4mb
green  open   packetbeat-2017.11.19 SbWdYxc8TUCYjMdFi5w5aw   5   0     306057            0     75.3mb         75.3mb
green  open   netflow-v5-2018.07.13 hPIJtc8NTJWrfyXRT-cEjg   1   0        320            0    140.6kb        140.6kb
green  open   snort-2017.10.19      4D-x0yxJRVi_L66TefCHfg   1   0       2636            0      4.5mb          4.5mb
green  open   winlogbeat-2017.12.19 bXookX-FRUet0AVSvtS74g   5   0        237            0    340.4kb        340.4kb
green  open   packetbeat-2017.12.24 CFHR7AYwQQKwiXXbxDen7A   5   0     315749            0       79mb           79mb
yellow open   bro-2018.06.17        HvVR1AblRyiW_16ANdfwgQ   5   1      65098            0     37.2mb         37.2mb
yellow open   netflow-v9-2018.07.15 Dt-jjqDXTIK0bdFZ58ozGg   5   1      17096            0      4.4mb          4.4mb
green  open   netflow-v9-2017.12.16 zA60bqX5S4CAzoVIb9yXyg   5   0      63571            0     11.4mb         11.4mb
green  open   packetbeat-2017.12.10 F75Jqy4BQyS2DlyQO8sqzQ   5   0     298691            0     73.9mb         73.9mb
green  open   winlogbeat-2017.12.03 -fK3B7y8S6WFMoEZ1_8b8A   5   0        294            0    449.8kb        449.8kb
